Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-05-22 09:30:00-04:00,306.06,307.39,305.85,307.32,1165476,0.0,0.0
2026-05-22 09:31:00-04:00,307.34,308.37,307.34,308.32,271159,0.0,0.0
2026-05-22 09:32:00-04:00,308.34,308.45,308.04,308.38,154935,0.0,0.0
2026-05-22 09:33:00-04:00,308.38,308.39,308.02,308.07,237009,0.0,0.0
2026-05-22 09:34:00-04:00,308.08,308.32,307.78,308.26,256236,0.0,0.0
2026-05-22 09:35:00-04:00,308.26,308.39,307.65,308.38,171119,0.0,0.0
2026-05-22 09:36:00-04:00,308.37,308.59,308.12,308.52,189272,0.0,0.0
2026-05-22 09:37:00-04:00,308.52,308.92,308.38,308.89,169936,0.0,0.0
2026-05-22 09:38:00-04:00,308.9,308.95,308.37,308.38,140481,0.0,0.0
2026-05-22 09:39:00-04:00,308.36,308.77,308.26,308.45,172868,0.0,0.0
2026-05-22 09:40:00-04:00,308.44,308.45,307.94,308.06,157414,0.0,0.0
2026-05-22 09:41:00-04:00,308.07,308.26,307.68,308.07,180586,0.0,0.0
2026-05-22 09:42:00-04:00,308.05,308.05,307.27,307.55,170132,0.0,0.0
2026-05-22 09:43:00-04:00,307.56,307.86,307.5,307.61,92421,0.0,0.0
2026-05-22 09:44:00-04:00,307.62,307.89,307.26,307.36,174822,0.0,0.0
2026-05-22 09:45:00-04:00,307.33,307.6,307.07,307.52,101022,0.0,0.0
2026-05-22 09:46:00-04:00,307.53,308.0,307.4,307.89,113973,0.0,0.0
2026-05-22 09:47:00-04:00,307.92,308.0,307.5,307.62,95953,0.0,0.0
2026-05-22 09:48:00-04:00,307.64,308.02,307.63,308.02,159265,0.0,0.0
2026-05-22 09:49:00-04:00,308.01,308.24,307.88,308.22,193484,0.0,0.0
2026-05-22 09:50:00-04:00,308.22,308.4,308.16,308.34,107606,0.0,0.0
2026-05-22 09:51:00-04:00,308.34,308.43,308.22,308.27,87262,0.0,0.0
2026-05-22 09:52:00-04:00,308.26,308.26,308.02,308.11,102659,0.0,0.0
2026-05-22 09:53:00-04:00,308.07,308.48,308.0,308.34,68263,0.0,0.0
2026-05-22 09:54:00-04:00,308.36,308.39,308.12,308.16,139994,0.0,0.0
2026-05-22 09:55:00-04:00,308.16,308.22,308.0,308.22,80993,0.0,0.0
2026-05-22 09:56:00-04:00,308.24,308.27,308.09,308.22,79592,0.0,0.0
2026-05-22 09:57:00-04:00,308.23,308.4,308.17,308.24,70793,0.0,0.0
2026-05-22 09:58:00-04:00,308.26,308.48,308.2,308.45,73005,0.0,0.0
2026-05-22 09:59:00-04:00,308.45,308.74,308.44,308.73,117841,0.0,0.0
2026-05-22 10:00:00-04:00,308.69,308.74,308.27,308.35,137530,0.0,0.0
2026-05-22 10:01:00-04:00,308.37,308.54,308.1,308.25,96805,0.0,0.0
2026-05-22 10:02:00-04:00,308.24,308.31,308.04,308.22,88191,0.0,0.0
2026-05-22 10:03:00-04:00,308.23,308.57,308.15,308.4,132063,0.0,0.0
2026-05-22 10:04:00-04:00,308.39,308.52,308.25,308.49,85208,0.0,0.0
2026-05-22 10:05:00-04:00,308.48,308.87,308.45,308.8,107964,0.0,0.0
2026-05-22 10:06:00-04:00,308.8,308.81,308.44,308.59,114574,0.0,0.0
2026-05-22 10:07:00-04:00,308.59,308.7,308.48,308.67,65352,0.0,0.0
2026-05-22 10:08:00-04:00,308.68,308.89,308.68,308.85,124124,0.0,0.0
2026-05-22 10:09:00-04:00,308.86,308.92,308.72,308.84,106999,0.0,0.0
2026-05-22 10:10:00-04:00,308.83,309.0,308.8,308.84,178563,0.0,0.0
2026-05-22 10:11:00-04:00,308.85,309.02,308.77,309.01,102294,0.0,0.0
2026-05-22 10:12:00-04:00,309.01,309.1,308.72,308.73,110211,0.0,0.0
2026-05-22 10:13:00-04:00,308.72,308.82,308.64,308.69,126015,0.0,0.0
2026-05-22 10:14:00-04:00,308.69,308.81,308.66,308.78,67809,0.0,0.0
2026-05-22 10:15:00-04:00,308.77,308.93,308.71,308.92,76715,0.0,0.0
2026-05-22 10:16:00-04:00,308.92,309.23,308.87,309.21,122931,0.0,0.0
2026-05-22 10:17:00-04:00,309.18,309.27,309.02,309.15,120442,0.0,0.0
